Price
580000
175000
47000
450000
450000
90000
230000
250000
41900
400000
90000
47000
111800
330000
55000
230000
450000
105000
330000
550000
50000
255000
350000
52600
380000
290000
75000
630000
450000
65000
230000
350000
38000
350000
230000
44900
120000
230000
39000
92000
100000
55000
110000
110000
95000
235000
270000
65000
180000
500000
48000
250000
200000
85000
270000
500000
110000
115000
110000
100000
160400
80000
65000
300000
65000
95000
580000
300000
49900
85000
290000
80000
580000
180000
67000
180000
135000
48000
410000
200000
129000
70000
160000
65000
140000
120000
65000
70000
105000
65000
140000
70000
115000
250000
170000
90000
72000
165000
60000
130000
78200
55000
155000
90000
49000
150000
90000
100000
350000
270000
120000
75000
130000
70000
150000
150000
60000
550000
150000
73000
100000
70000
50000
150000
395000
62900
250000
150000
60000
66000
90000
160000
65000
60000
50000
100000
68000
65000
395000
150000
54500
140000
90000
70000
135000
400000
68000
90000
55000
66000
80000
140000
55000
135000
150000
55000
95000
90000
65000
60000
750000
65000
60000
60000
59500
105000
65000
90000
65000
63000
60000
80000
450000
60000
65000
81500
65000
95000
47500
55000
49150
115000
130000
64000
57700
47000
89000
64900
60000
78000
52600
150000
67900
84900
45000
49500
70000
46000
60000
60000
60000
52600
78200
65000
57700
75000
58000
71000
75000
100000
250000
57700
80000
129900
60000
43000
59700
83000
98000
63500
85000
50000
57700
95000
75000
94400
104600
55000
55000
62900
75000
83300
63000
240000
83300
62900
70000
65000
79900
55000
75000
75000
55000
94400
71000
100000
60000
88000
50000
120000
140400
115000
73000
43000
60000
97900
77900
57000
94400
85000
70000
75000
100000
160000
49900
64000
55000
89900
78200
110000
70000
150000
60000
104600
125000
58000
160000
71000
65000
75000
